innovation	adoption	index	percentage
ADU	High Willingness, High Capability	People I care about would think less of me	5.363929889
ADU	High Willingness, High Capability	It adheres to my goal of living sustainably	1.58384503
ADU	High Willingness, High Capability	There is high demand for long-term rentals in my area	1.281671
ADU	High Willingness, High Capability	South Asian	1.195189255
ADU	High Willingness, High Capability	Man	1.049627125
ADU	High Willingness, High Capability	Getting a permit would be complicated	0.8718447087
ADU	High Willingness, High Capability	There are no financing options that would allow me to borrow money	0.7242822518
ADU	High Willingness, High Capability	I don't know what the local regulations are about it	0.6751268118
ADU	High Willingness, High Capability	Arab	0.4859897366
ADU	High Willingness, High Capability	Age 31-40	0.4265243138
ADU	High Willingness, High Capability	Province British Columbia	0.2959160826
ADU	High Willingness, High Capability	Province Ontario	0.2813880732
ADU	High Willingness, High Capability	More than 130,000	0.2612844964
ADU	High Willingness, High Capability	Age 61-70	0.226073046
ADU	High Willingness, Low Capability	I would feel a sense of shame or disappointment in myself	2.660513708
ADU	High Willingness, Low Capability	It would negatively impact the value of my property	2.019787697
ADU	High Willingness, Low Capability	Larger multiplex (5 - 12 units)	1.8178329
ADU	High Willingness, Low Capability	Age 26-30	1.051655807
ADU	High Willingness, Low Capability	Age 31-40	0.8942403505
ADU	High Willingness, Low Capability	Less than 40,000	0.7537218284
ADU	High Willingness, Low Capability	Man	0.7415320445
ADU	High Willingness, Low Capability	Province Ontario	0.660235881
ADU	High Willingness, Low Capability	Age 41-50	0.5720911016
ADU	High Willingness, Low Capability	Province British Columbia	0.5189777153
ADU	High Willingness, Low Capability	Age 51-60	0.489140479
ADU	High Willingness, Low Capability	Apartment (in a building with more than 12 units)	0.3861819087
ADU	High Willingness, Low Capability	40,000 - 70,000	0.2201201469
ADU	High Willingness, Low Capability	Province Atlantic Canada	0.1846896768
ADU	Low Willingness, High Capability	More than 130,000	0.8237042259
ADU	Low Willingness, High Capability	I don't know what the local regulations are about it	0.7920229517
ADU	Low Willingness, High Capability	Age 71-80	0.5712797545
ADU	Low Willingness, High Capability	People I care about would think less of me	0.5478173288
ADU	Low Willingness, High Capability	Your spouse or common-law partner	0.5191426205
ADU	Low Willingness, High Capability	It adheres to my goal of living sustainably	0.3286435394
ADU	Low Willingness, High Capability	I live alone	0.2965337753
ADU	Low Willingness, High Capability	Local regulations do not allow me to build it	0.283891228
ADU	Low Willingness, High Capability	My property would not be suitable for it	0.2676602678
ADU	Low Willingness, High Capability	Other non-relative(s)	0.2584687534
ADU	Low Willingness, High Capability	Age 61-70	0.2178852862
ADU	Low Willingness, High Capability	100,001 - 130,000	0.2065311968
ADU	Low Willingness, Low Capability	It would be simple	6.720322256
ADU	Low Willingness, Low Capability	Your grandchild(ren)	3.435900003
ADU	Low Willingness, Low Capability	Your sibling(s)	2.182849487
ADU	Low Willingness, Low Capability	Mobile home	1.741564904
ADU	Low Willingness, Low Capability	It would contribute to improving housing availability in my area	1.516639754
ADU	Low Willingness, Low Capability	It would provide extra space for hobbies	1.484966736
ADU	Low Willingness, Low Capability	It would allow me to both downsize and continue living here as I grow older	1.381743339
ADU	Low Willingness, Low Capability	It would provide extra income	1.224313445
ADU	Low Willingness, Low Capability	It would leave me with too little outdoor space	1.099611895
ADU	Low Willingness, Low Capability	Province Quebec	1.031958838
ADU	Low Willingness, Low Capability	It would provide space for a home office	1.019291655
ADU	Low Willingness, Low Capability	Southeast Asian	0.998005811
ADU	Low Willingness, Low Capability	I have access to incentive programs (e.g. federal, provincial or municipal) to build an ADU	0.9598730594
ADU	Low Willingness, Low Capability	There is high demand for short-term rentals in my area	0.913086364
Community Bonds	High Willingness, High Capability	Age 31-40	0.7851445811
Community Bonds	High Willingness, High Capability	Age 51-60	0.6964352511
Community Bonds	High Willingness, High Capability	More than 130,000	0.6953868673
Community Bonds	High Willingness, High Capability	To my knowledge, there are limited or no opportunities	0.6604270652
Community Bonds	High Willingness, High Capability	70,001 - 100,000	0.5962833157
Community Bonds	High Willingness, High Capability	Age 41-50	0.4881510094
Community Bonds	High Willingness, High Capability	Black	0.4860776438
Community Bonds	High Willingness, High Capability	100,001 - 130,000	0.4807854825
Community Bonds	High Willingness, High Capability	Non-binary	0.3967213809
