				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Index	Attribute	Innovation	Adoption	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural
None of the above	Barriers	ADU	High Personal Support	27	12	23	28	57	10	6	1	126	35	20	11	118	2
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	High Personal Support	32	5	8	13	40	2	0	0	100	15	12	6	52	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	High Personal Support	10	1	5	3	8	0	0	0	38	2	6	1	26	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	High Personal Support	63	6	18	5	107	2	1	2	149	19	23	4	77	1
It could increase the density of my neighbourhood.	Barriers	ADU	High Personal Support	32	1	10	0	46	3	0	2	92	6	12	1	65	1
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	High Personal Support	4	2	1	1	7	1	0	0	16	0	2	0	15	0
It would reduce my privacy.	Barriers	ADU	High Personal Support	18	2	11	5	13	2	0	1	55	13	11	4	21	0
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	High Personal Support	22	3	9	9	32	3	1	0	72	18	9	2	59	0
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	High Personal Support	26	3	11	4	26	0	1	0	94	12	15	4	96	0
It may block my view.	Barriers	ADU	High Personal Support	7	4	2	0	8	0	0	1	26	4	1	0	14	0
None of the above	Barriers	ADU	Low Personal Support	7	4	10	3	16	3	1	0	73	15	9	4	47	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	Low Personal Support	37	6	11	13	32	7	0	1	108	11	20	5	80	2
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	Low Personal Support	9	3	5	3	11	3	0	1	44	6	8	2	34	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	Low Personal Support	74	10	13	3	53	9	2	0	176	11	31	5	52	1
It could increase the density of my neighbourhood.	Barriers	ADU	Low Personal Support	37	7	11	2	37	3	2	0	129	7	15	4	64	1
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	Low Personal Support	8	0	2	1	4	0	0	1	28	3	4	1	13	0
It would reduce my privacy.	Barriers	ADU	Low Personal Support	14	4	6	5	12	7	0	0	59	10	12	3	32	1
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	Low Personal Support	34	7	8	7	24	9	2	0	99	10	18	3	70	1
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	Low Personal Support	44	7	12	6	33	5	0	0	134	21	20	6	71	0
It may block my view.	Barriers	ADU	Low Personal Support	7	0	3	1	2	0	0	0	11	2	2	0	6	0
None of the above	Barriers	ADU	High Perceived Neighbors' Support	17	7	15	17	29	6	4	0	68	22	6	5	57	2
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	High Perceived Neighbors' Support	10	4	3	8	21	1	0	0	47	6	7	3	20	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	4	0	2	3	3	0	0	0	17	0	3	0	9	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	23	3	9	2	63	0	1	1	75	8	15	0	28	0
It could increase the density of my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	18	1	7	0	35	2	1	1	51	4	8	0	22	0
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	High Perceived Neighbors' Support	3	0	0	0	5	1	0	0	11	0	2	0	4	0
It would reduce my privacy.	Barriers	ADU	High Perceived Neighbors' Support	7	1	6	2	5	2	0	1	32	6	3	3	7	0
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	High Perceived Neighbors' Support	9	1	4	5	19	1	1	0	41	8	7	1	24	0
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	11	0	3	1	9	0	0	0	39	7	7	4	26	0
