				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Index	Attribute	Innovation	Adoption	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural
Man	Gender	ADU	Adopted	1	0	0	2	5	3	0	1	8	4	1	2	4	0
Woman	Gender	ADU	Adopted	4	2	0	2	4	0	0	0	9	2	1	1	4	0
Non-binary	Gender	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prefer not to answer	Gender	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 to 34 years	Age Group	ADU	Adopted	0	0	0	0	3	0	0	0	4	0	1	0	3	0
35 to 44 years	Age Group	ADU	Adopted	1	0	0	0	1	0	0	0	4	0	0	1	0	0
45 to 54 years	Age Group	ADU	Adopted	2	1	0	1	2	1	0	0	3	1	0	1	4	0
55 to 64 years	Age Group	ADU	Adopted	1	1	0	1	1	1	0	0	4	1	0	0	1	0
65 to 74 years	Age Group	ADU	Adopted	1	0	0	1	1	0	0	1	1	3	1	1	0	0
75 to 84 years	Age Group	ADU	Adopted	0	0	0	1	0	1	0	0	1	1	0	0	0	0
85 years and over	Age Group	ADU	Adopted	0	0	0	0	1	0	0	0	0	0	0	0	0	0
$100,001 - $130,000	Household Income	ADU	Adopted	3	0	0	0	3	1	0	0	5	4	0	1	0	0
$40,000 - $70,000	Household Income	ADU	Adopted	1	1	0	0	2	0	0	0	5	1	0	0	2	0
$70,001 - $100,000	Household Income	ADU	Adopted	0	1	0	1	2	0	0	0	2	0	1	0	1	0
Less than $40,000	Household Income	ADU	Adopted	0	0	0	1	0	0	0	0	1	0	0	0	1	0
More than $130,000	Household Income	ADU	Adopted	1	0	0	1	2	2	0	1	4	1	1	2	4	0
Prefer not to answer	Household Income	ADU	Adopted	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Owners	Ownership Status	ADU	Adopted	0	2	0	4	9	2	0	1	14	6	2	3	7	0
Non-Owners	Ownership Status	ADU	Adopted	0	0	0	0	0	1	0	0	3	0	0	0	1	0
Single-family home	Type of Housing	ADU	Adopted	5	1	0	4	8	1	0	1	14	6	2	3	6	0
Accessory Dwelling Unit	Type of Housing	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	ADU	Adopted	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Condominium	Type of Housing	ADU	Adopted	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Duplex, triplex or fourplex	Type of Housing	ADU	Adopted	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Larger multiplex (5 - 12 units)	Type of Housing	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile home	Type of Housing	ADU	Adopted	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Townhouse, row house or semi-detached house	Type of Housing	ADU	Adopted	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Other	Type of Housing	ADU	Adopted	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I live alone	Household Composition	ADU	Adopted	0	0	0	1	1	1	0	0	3	1	0	0	2	0
Your spouse or common-law partner	Household Composition	ADU	Adopted	4	2	0	3	7	2	0	1	11	5	2	3	6	0
Your parent(s) (including in-laws)	Household Composition	ADU	Adopted	0	0	0	0	3	0	0	0	1	0	0	0	0	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	Adopted	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	Adopted	2	1	0	0	3	0	0	0	4	2	2	2	2	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	Adopted	1	0	0	1	2	0	0	0	2	0	0	1	2	0
Your grandchild(ren)	Household Composition	ADU	Adopted	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Your sibling(s)	Household Composition	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other relative(s)	Household Composition	ADU	Adopted	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Other non-relative(s)	Household Composition	ADU	Adopted	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Getting a permit would be complicated	Barriers	ADU	Adopted	1	0	0	1	3	2	0	1	7	2	2	0	2	0
The building process would be stressful or disruptive	Barriers	ADU	Adopted	1	0	0	1	3	1	0	1	4	1	0	0	3	0
The potential returns are not worth the investment	Barriers	ADU	Adopted	0	0	0	0	1	0	0	0	5	1	0	1	1	0
It doesn't align with my plan and vision for my property or future property	Barriers	ADU	Adopted	0	0	0	0	0	0	0	0	0	1	0	0	1	0
People in my neighbourhood would object	Barriers	ADU	Adopted	1	0	0	0	1	0	0	0	3	1	0	0	1	0
Finding and managing tenants puts me off building an ADU on my property	Barriers	ADU	Adopted	4	0	0	0	2	2	0	0	8	3	1	2	2	0
It would not give me enough privacy	Barriers	ADU	Adopted	2	0	0	1	3	0	0	0	5	1	1	1	0	0
It would leave me with too little outdoor space	Barriers	ADU	Adopted	1	0	0	0	1	0	0	0	0	0	0	0	1	0
It would negatively impact the value of my property	Barriers	ADU	Adopted	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I would feel a sense of shame or disappointment in myself	Barriers	ADU	Adopted	0	0	0	0	1	0	0	0	1	0	0	0	0	0
People I care about would think less of me	Barriers	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
It would increase the value of my property	Drivers	ADU	Adopted	2	2	0	2	2	1	0	1	7	0	1	0	1	0
It would help me accommodate my growing family	Drivers	ADU	Adopted	0	0	0	0	3	0	0	0	4	1	0	0	5	0
It would enable me to take care of older family members while maintaining our privacy	Drivers	ADU	Adopted	1	1	0	2	2	0	0	1	2	2	1	0	0	0
It would allow me to accommodate guests	Drivers	ADU	Adopted	0	1	0	1	0	0	0	1	2	2	0	1	3	0
It would provide space for a home office	Drivers	ADU	Adopted	0	0	0	0	0	0	0	0	0	0	0	1	1	0
It would provide extra space for hobbies	Drivers	ADU	Adopted	0	0	0	0	0	0	0	0	3	1	0	1	3	0
It adheres to my goal of living sustainably	Drivers	ADU	Adopted	0	0	0	1	0	0	0	0	1	0	0	0	1	0
It would contribute to improving housing availability in my area	Drivers	ADU	Adopted	0	0	0	1	1	1	0	0	2	0	0	1	1	0
It would provide extra income	Drivers	ADU	Adopted	5	1	0	3	7	1	0	0	6	1	2	2	0	0
It would be simple	Drivers	ADU	Adopted	1	0	0	0	0	0	0	0	0	0	0	0	1	0
There is high demand for short-term rentals in my area	Drivers	ADU	Adopted	0	0	0	0	0	0	0	0	4	0	1	0	1	0
There is high demand for long-term rentals in my area	Drivers	ADU	Adopted	2	0	0	1	1	2	0	0	1	1	0	1	0	0
I have access to incentive programs (e.g. federal, provincial or municipal) to build an ADU	Drivers	ADU	Adopted	2	0	0	0	1	0	0	0	2	0	0	0	0	0
I have access to other financing opportunities (e.g. contributions from family) to build an ADU	Drivers	ADU	Adopted	0	0	0	0	0	0	0	0	2	0	0	0	2	0
It would allow me to both downsize and continue living here as I grow older	Drivers	ADU	Adopted	1	0	0	0	1	0	0	0	4	1	0	0	2	0
I would not be able to afford it within the next 5 years	Barriers	ADU	Adopted	1	0	0	2	1	1	0	0	6	1	0	1	3	0
There are no financing options that would allow me to borrow money	Barriers	ADU	Adopted	2	0	0	0	0	0	0	0	5	0	0	1	3	0
My property would not be suitable for it	Barriers	ADU	Adopted	1	1	0	0	3	0	0	0	2	2	0	0	1	0
I don't know what the local regulations are about it	Barriers	ADU	Adopted	0	0	0	0	2	2	0	0	4	2	1	0	4	0
Local regulations do not allow me to build it	Barriers	ADU	Adopted	0	0	0	0	1	0	0	0	2	3	1	0	3	0
The information comes directly from other customers, e.g. online reviews or forums	Sources of Trust	ADU	Adopted	0	0	0	1	1	0	0	0	4	2	1	1	1	0
