				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Index	Attribute	Innovation	Adoption	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural	Urban	Rural
Man	Gender	ADU	High Personal Support	62	11	26	18	88	9	2	2	212	28	32	7	170	0
Woman	Gender	ADU	High Personal Support	60	13	31	29	105	8	5	2	209	52	27	18	162	3
Non-binary	Gender	ADU	High Personal Support	1	0	1	0	0	0	0	0	3	0	1	0	2	0
Prefer not to answer	Gender	ADU	High Personal Support	0	0	0	1	3	0	0	0	1	0	1	0	3	0
25 to 34 years	Age Group 	ADU	High Personal Support	23	1	8	4	34	1	0	1	76	4	9	4	45	0
35 to 44 years	Age Group 	ADU	High Personal Support	30	4	4	8	30	3	3	0	81	14	15	7	58	0
45 to 54 years	Age Group 	ADU	High Personal Support	30	4	9	9	33	3	2	0	103	13	7	1	60	2
55 to 64 years	Age Group 	ADU	High Personal Support	24	4	14	15	36	6	0	2	74	24	14	7	73	0
65 to 74 years	Age Group 	ADU	High Personal Support	10	2	15	8	34	2	1	1	53	18	7	3	60	0
75 to 84 years	Age Group 	ADU	High Personal Support	4	5	6	4	20	2	1	0	28	6	9	3	29	1
85 years and over	Age Group 	ADU	High Personal Support	2	4	2	0	9	0	0	0	10	1	0	0	12	0
$100,001 - $130,000	Household Income	ADU	High Personal Support	20	4	5	3	24	1	3	2	58	12	9	3	51	0
$40,000 - $70,000	Household Income	ADU	High Personal Support	22	5	18	14	40	3	0	2	86	17	15	6	77	1
$70,001 - $100,000	Household Income	ADU	High Personal Support	22	2	10	9	32	4	0	0	80	17	7	5	54	0
Less than $40,000	Household Income	ADU	High Personal Support	23	5	12	11	41	5	0	0	104	18	17	3	10	1
More than $130,000	Household Income	ADU	High Personal Support	24	6	6	8	46	3	4	0	80	14	11	5	8	1
Prefer not to answer	Household Income	ADU	High Personal Support	12	2	7	3	13	1	0	0	17	2	2	3	25	0
Owners	Type of Housing 	ADU	High Personal Support	0	19	36	38	109	13	6	3	256	69	39	23	189	3
Non-Owners	Type of Housing 	ADU	High Personal Support	41	5	22	10	87	4	1	1	169	11	22	2	148	0
I live alone	Household Composition	ADU	High Personal Support	23	7	15	8	48	2	0	1	96	12	12	5	103	0
Your spouse or common-law partner	Household Composition	ADU	High Personal Support	76	13	35	35	109	14	5	3	248	57	43	16	184	2
Your parent(s) (including in-laws)	Household Composition	ADU	High Personal Support	6	5	2	2	17	1	1	0	31	7	3	1	8	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	High Personal Support	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	High Personal Support	33	4	11	11	47	0	1	1	119	21	16	8	49	2
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	High Personal Support	14	1	3	2	13	3	1	0	36	11	8	4	44	0
Your grandchild(ren)	Household Composition	ADU	High Personal Support	1	1	2	1	5	0	0	0	4	3	0	1	4	0
Your sibling(s)	Household Composition	ADU	High Personal Support	5	0	1	1	8	0	0	0	17	4	0	0	4	0
Other relative(s)	Household Composition	ADU	High Personal Support	1	0	0	0	5	0	0	0	7	4	1	1	5	0
Other non-relative(s)	Household Composition	ADU	High Personal Support	9	0	4	1	17	0	1	1	24	2	1	0	11	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	ADU	High Personal Support	60	12	34	23	95	8	3	3	203	36	42	13	153	1
Information about the organisation providing the innovation	Key Pieces of Information	ADU	High Personal Support	37	8	15	21	56	5	3	3	132	33	19	11	112	1
Sources of funding for the project	Key Pieces of Information	ADU	High Personal Support	30	12	21	17	58	7	1	0	150	29	27	13	121	1
Contact details of the organisation providing the innovation	Key Pieces of Information	ADU	High Personal Support	21	5	10	6	29	2	1	1	72	15	9	2	67	1
Reviews of the organisation providing the innovation	Key Pieces of Information	ADU	High Personal Support	32	7	12	13	51	5	1	0	104	19	17	6	64	2
Images or physical demos of the housing itself	Key Pieces of Information	ADU	High Personal Support	51	5	21	13	54	7	0	1	135	24	16	8	119	1
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	ADU	High Personal Support	62	4	30	18	91	7	6	1	192	37	24	9	132	1
